Country,Time (minutes),Category
Australia,211,Paid work
Australia,132,Housework
Australia,29,Shopping
Australia,512,Sleep
Australia,89,Eating and drinking
Australia,56,Personal care
Australia,140,TV and Radio
Belgium,194,Paid work
Belgium,121,Housework
Belgium,29,Shopping
Belgium,513,Sleep
Belgium,99,Eating and drinking
Belgium,53,Personal care
Belgium,131,TV and Radio
China,315,Paid work
China,103,Housework
China,20,Shopping
China,542,Sleep
China,100,Eating and drinking
China,52,Personal care
China,127,TV and Radio
France,170,Paid work
France,129,Housework
France,22,Shopping
France,513,Sleep
France,133,Eating and drinking
France,107,Personal care
France,114,TV and Radio
Japan,326,Paid work
Japan,80,Housework
Japan,25,Shopping
Japan,442,Sleep
Japan,93,Eating and drinking
Japan,85,Personal care
Japan,103,TV and Radio
South Korea,288,Paid work
South Korea,76,Housework
South Korea,13,Shopping
South Korea,471,Sleep
South Korea,117,Eating and drinking
South Korea,90,Personal care
South Korea,102,TV and Radio
United States,251,Paid work
United States,100,Housework
United States,22,Shopping
United States,528,Sleep
United States,63,Eating and drinking
United States,57,Personal care
United States,148,TV and Radio
,,
,,
,,
,,
,,
,,
,,
